incident_number,alarm_type,repeat_count,time_of_day2,true_alarm,false_alarm,true_percentage,false_percentage
602192-16062012,6200,1,Night-time,0,185,0,100
602380-16062012,1100,1,Cooking-time,0,280,0,100
603461-18062012,1120,1,Office Hours,0,3,0,100
605258-22062012,1370,0,Office Hours,0,1,0,100
606929-25062012,7100,0,Cooking-time,0,1,0,100
607197-25062012,6110,2,Office Hours,0,38,0,100
608004-26062012,0,0,Night-time,0,61,0,100
609712-30062012,1900,0,Night-time,0,51,0,100
609746-30062012,1900,1,Night-time,0,8,0,100
609765-30062012,1900,2,Night-time,0,3,0,100
610292-30062012,1900,3,Night-time,0,1,0,100
610434-01072012,1900,4,Cooking-time,0,2,0,100
610836-01072012,0,1,Night-time,0,1,0,100
610861-02072012,7110,0,Night-time,0,17,0,100
611320-02072012,6120,0,Cooking-time,0,22,0,100
611321-02072012,1170,0,Cooking-time,0,6,0,100
611403-03072012,6900,3,Night-time,0,71,0,100
611408-03072012,6120,1,Night-time,0,1,0,100
611409-03072012,1170,1,Night-time,0,1,0,100
611562-03072012,6900,3,Office Hours,0,43,0,100
611808-03072012,6200,3,Cooking-time,0,9,0,100
611828-03072012,6200,4,Cooking-time,0,4,0,100
611946-04072012,6100,3,Night-time,0,46,0,100
612022-04072012,6900,5,Cooking-time,0,25,0,100
612533-05072012,6100,4,Night-time,0,15,0,100
612694-05072012,6110,3,Office Hours,0,5,0,100
613265-06072012,6100,3,Office Hours,0,40,0,100
616677-12072012,1100,2,Night-time,0,79,0,100
616729-13072012,1100,3,Night-time,0,28,0,100
616870-13072012,1900,0,Office Hours,0,34,0,100
617019-13072012,1100,4,Office Hours,0,5,0,100
617472-14072012,6110,3,Cooking-time,0,23,0,100
618960-17072012,6200,2,Night-time,0,25,0,100
619240-17072012,6100,2,Office Hours,0,138,0,100
619329-17072012,6990,3,Office Hours,0,47,0,100
619332-17072012,6990,4,Office Hours,0,23,0,100
619336-17072012,6990,6,Cooking-time,0,14,0,100
619344-17072012,6990,7,Cooking-time,0,5,0,100
619610-18072012,6990,8,Cooking-time,0,2,0,100
621628-22072012,1200,0,Night-time,0,14,0,100
621642-22072012,1200,1,Cooking-time,0,3,0,100
623214-25072012,1370,0,Cooking-time,0,1,0,100
624042-27072012,1120,1,Night-time,0,13,0,100
624151-27072012,1120,2,Cooking-time,0,1,0,100
624582-28072012,6990,3,Night-time,0,73,0,100
624621-28072012,6990,4,Night-time,0,24,0,100
626716-31072012,6100,4,Cooking-time,0,25,0,100
626786-01082012,6100,5,Night-time,0,8,0,100
627055-01082012,1200,0,Office Hours,0,13,0,100
627266-01082012,1200,2,Cooking-time,0,3,0,100
627308-02082012,1200,3,Night-time,0,1,0,100
627325-02082012,6100,6,Night-time,0,3,0,100
627652-02082012,6100,7,Office Hours,0,3,0,100
627812-02082012,1200,4,Cooking-time,0,2,0,100
627895-03082012,6100,8,Night-time,0,2,0,100
632839-10082012,6990,5,Night-time,0,7,0,100
635379-12082012,1100,4,Cooking-time,0,11,0,100
637517-16082012,1190,0,Cooking-time,0,1,0,100
638961-17082012,6110,3,Night-time,0,12,0,100
639005-18082012,6110,4,Night-time,0,8,0,100
641482-21082012,1200,0,Cooking-time,0,23,0,100
642400-22082012,6100,3,Cooking-time,0,81,0,100
648630-31082012,1120,3,Cooking-time,0,1,0,100
648870-31082012,6200,2,Cooking-time,0,45,0,100
653703-05092012,1900,1,Cooking-time,0,11,0,100
655863-07092012,0,1,Cooking-time,0,4,0,100
657544-09092012,6100,4,Office Hours,0,10,0,100
661282-14092012,1100,4,Night-time,0,11,0,100
661987-15092012,6900,6,Night-time,0,9,0,100
662003-15092012,6900,7,Cooking-time,0,7,0,100
662162-15092012,6900,8,Office Hours,0,2,0,100
662531-15092012,6900,9,Cooking-time,0,2,0,100
664420-18092012,1120,2,Office Hours,0,1,0,100
671463-28092012,6900,5,Night-time,0,12,0,100
671480-28092012,6900,7,Night-time,0,5,0,100
671483-28092012,6900,8,Night-time,0,3,0,100
671487-28092012,6900,9,Night-time,0,2,0,100
671909-28092012,6900,10,Cooking-time,0,3,0,100
671932-28092012,6900,11,Cooking-time,0,1,0,100
673560-30092012,6100,5,Cooking-time,0,11,0,100
681404-10102012,6200,4,Night-time,0,4,0,100
684949-16102012,6200,3,Night-time,0,8,0,100
689862-22102012,6110,2,Night-time,0,37,0,100
702563-07112012,6290,1,Office Hours,0,2,0,100
703054-08112012,1900,1,Office Hours,0,3,0,100
703152-08112012,1900,2,Cooking-time,0,4,0,100
703171-08112012,1900,3,Cooking-time,0,2,0,100
704497-10112012,1160,0,Cooking-time,0,1,0,100
705641-12112012,1120,1,Cooking-time,0,11,0,100
708026-15112012,6600,0,Cooking-time,0,2,0,100
711287-21112012,1100,3,Cooking-time,0,18,0,100
713294-24112012,7110,1,Cooking-time,0,6,0,100
713869-25112012,7110,2,Night-time,0,1,0,100
719887-03122012,1160,0,Night-time,0,2,0,100
721428-05122012,1170,0,Night-time,0,6,0,100
722684-06122012,6900,8,Cooking-time,0,4,0,100
732427-19122012,1100,3,Office Hours,0,8,0,100
