incident_number,season,alarm_type,work_end,true_alarm,false_alarm,true_percentage,false_percentage
602690-17062012,Winter,1120,Week_ends,0,12,0,100
604850-21062012,Winter,0,Work_days,0,75,0,100
605258-22062012,Winter,1370,Work_days,0,2,0,100
606087-23062012,Winter,0,Week_ends,0,9,0,100
606929-25062012,Winter,7100,Work_days,0,1,0,100
608439-27062012,Winter,6290,Work_days,0,5,0,100
609712-30062012,Winter,1900,Week_ends,0,13,0,100
611321-02072012,Winter,1170,Work_days,0,5,0,100
616870-13072012,Winter,1900,Work_days,0,18,0,100
621628-22072012,Winter,1200,Week_ends,0,3,0,100
627055-01082012,Winter,1200,Work_days,0,18,0,100
635333-12082012,Winter,6120,Week_ends,0,3,0,100
637517-16082012,Winter,1190,Work_days,0,1,0,100
649184-01092012,Spring,1900,Week_ends,0,21,0,100
649288-01092012,Spring,1120,Week_ends,0,17,0,100
649644-01092012,Spring,6290,Week_ends,0,2,0,100
657941-09092012,Spring,0,Week_ends,0,29,0,100
683592-13102012,Spring,7110,Week_ends,0,17,0,100
685522-16102012,Spring,1170,Work_days,0,2,0,100
697576-01112012,Spring,1200,Work_days,0,10,0,100
704497-10112012,Spring,1160,Week_ends,0,1,0,100
708026-15112012,Spring,6600,Work_days,0,2,0,100
714238-25112012,Spring,1170,Week_ends,0,2,0,100
714349-25112012,Spring,1200,Week_ends,0,3,0,100
719887-03122012,Summer,1160,Work_days,0,1,0,100
721428-05122012,Summer,1170,Work_days,0,4,0,100
721427-05122012,Summer,6120,Work_days,0,12,0,100
723610-07122012,Summer,7110,Work_days,0,24,0,100
734355-22122012,Summer,1160,Week_ends,0,1,0,100
735050-22122012,Summer,6120,Week_ends,0,4,0,100
735051-22122012,Summer,1170,Week_ends,0,1,0,100
735196-23122012,Summer,1900,Week_ends,0,14,0,100
735408-23122012,Summer,1120,Week_ends,0,10,0,100
735528-23122012,Summer,0,Week_ends,0,7,0,100
014862-15012013,Summer,1200,Work_days,0,11,0,100
020161-20012013,Summer,1200,Week_ends,0,5,0,100
049578-06032013,Autumn,7110,Work_days,0,27,0,100
052187-11032013,Autumn,1200,Work_days,0,15,0,100
052683-12032013,Autumn,6290,Work_days,0,5,0,100
061389-26032013,Autumn,6120,Work_days,0,5,0,100
063896-30032013,Autumn,6210,Week_ends,0,7,0,100
067689-06042013,Autumn,1900,Week_ends,0,4,0,100
069245-09042013,Autumn,6210,Work_days,0,7,0,100
072210-14042013,Autumn,0,Week_ends,0,9,0,100
074592-18042013,Autumn,1170,Work_days,0,2,0,100
108790-16062013,Winter,6290,Week_ends,0,4,0,100
113849-25062013,Winter,6210,Work_days,0,2,0,100
121869-10072013,Winter,8990,Work_days,0,1,0,100
162869-11092013,Spring,6210,Work_days,0,5,0,100
009964-16012014,Summer,6210,Work_days,0,2,0,100
037114-25022014,Summer,2270,Work_days,0,3,0,100
056109-30032014,Autumn,6120,Week_ends,0,3,0,100
062375-12042014,Autumn,1110,Week_ends,0,1,0,100
105216-01072014,Winter,2270,Work_days,0,4,0,100
115841-18072014,Winter,1130,Work_days,0,1,0,100
162400-04102014,Spring,6210,Week_ends,0,1,0,100
170676-15102014,Spring,1110,Work_days,0,2,0,100
176281-25102014,Spring,2350,Week_ends,0,2,0,100
213596-14122014,Summer,4310,Week_ends,0,1,0,100
045018-21032015,Autumn,1200,Week_ends,0,2,0,100
046509-24032015,Autumn,2350,Work_days,0,1,0,100
058408-15042015,Autumn,1140,Work_days,0,2,0,100
068161-22042015,Autumn,4110,Work_days,0,1,0,100
070286-25042015,Autumn,2270,Week_ends,0,1,0,100
071655-27042015,Autumn,2270,Work_days,0,1,0,100
097414-14062015,Winter,1170,Week_ends,0,1,0,100
